ART100,Data Structures ART
ART101,Chemistry MUS
ART102,Social Development II HIST,PHYS85057
ART102,Topics in CS,BIO269
ART102,Physics HIST
ART103,Calculus I HIST
ART103,Applications of PHYS
ART104,Artificial Intelligence CHEM,CS136
ART104,Artificial Intelligence CHEM,CS186
ART104,Topics in HIST,MUS581
ART104,Methods in STAT,BIO596
ART105,Artificial Intelligence ART
ART105,Chemistry PHYS,ENG507
ART106,Microbiology BIO
ART106,Social Development I CHEM
ART107,Calculus II SOC,CS312
ART107,Calculus II PSY
ART108,Artificial Intelligence HIST,HIST110
ART111,Intro to PHYS,MATH66714
ART11294,English I ENG,MATH85484
ART113,Artificial Intelligence MIS
ART11348,Social Development I ECON
ART11420,Cognitive Science BIO
ART115,Calculus I CHEM
ART117,Topics in ENG
ART118,Calculus II STAT
ART118,Seminar on CS
ART120,Research in CS,ENG413
ART120,Research in MIS
ART120,Workshop in BIO
ART120,Research in ENG
ART12032,Topics in PSY
ART122,English II CHEM
ART122,Research in MATH
ART124,English I MATH
ART124,Physics PSY
ART125,Biology HIST
ART125,Machine Learning PHYS
ART125,Calculus II ECON,MATH100
ART125,Calculus I PHYS
ART126,Lab in MIS
ART12640,Calculus II ECON
ART127,Applications of ENG,CHEM566
ART127,Seminar on PSY
ART12709,Machine Learning MIS,PSY295
ART128,Seminar on SOC
ART128,Regression Analysis STAT
ART130,Artificial Intelligence ECON
ART130,Workshop in ECON,MUS137
ART130,Thermodynamics CHEM,HIST160
ART130,Seminar on CS
ART130,Workshop in ENG
ART131,Theory of ENG
ART131,Physics CS,SOC484
ART132,Microbiology MATH
ART133,Social Development II SOC
ART133,Machine Learning PHYS
ART133,Chemistry ECON
ART134,Chemistry SOC
ART135,Advanced SOC
ART137,English II MIS
ART137,Seminar on MUS
ART137,Workshop in HIST,ENG137
ART138,Topics in ECON
ART138,Advanced HIST,CS161
ART139,Calculus I MUS,CS342
ART141,Applications of ECON,MATH435
ART142,Social Development II MATH,MIS111
ART143,Topics in ART
ART144,Fundamentals of CS,SOC301
ART144,Machine Learning MATH
ART145,Statistics PHYS,HIST110
ART145,Astrophysics MIS
ART147,Data Structures SOC
ART147,Applications of HIST
ART147,Thermodynamics PSY
ART148,Statistics HIST
ART148,Regression Analysis ART
ART148,Principles of PHYS
ART149,Regression Analysis PSY,ECON84758
ART149,Astrophysics ART
